,Corriente inicial (A),Corriente final (A),Valor del registro (decimal)
418,2.2903679118881516e-06,2.4903679118881514e-06,2
419,3.4971760416793873e-06,2.6971760416793873e-06,15
420,1.1053735218381023e-06,1.8053735218381023e-06,7
421,3.6177592758472905e-06,2.8177592758472906e-06,15
422,2.543822148208014e-06,2.543822148208014e-06,0
423,2.292072122200776e-06,2.492072122200776e-06,2
424,3.246337457441988e-06,2.546337457441988e-06,14
425,2.676063182638125e-06,2.4760631826381254e-06,9
426,1.6533710757853523e-06,2.3533710757853524e-06,7
427,1.6546693329002746e-06,2.3546693329002747e-06,7
428,2.019627745400596e-06,2.519627745400596e-06,5
429,3.378043409502742e-06,2.578043409502742e-06,15
430,2.0877986449585905e-06,2.4877986449585904e-06,4
431,4.870629378926786e-06,4.070629378926786e-06,15
432,3.33374508163084e-06,2.53374508163084e-06,15
433,1.7965275548660707e-06,2.496527554866071e-06,7
434,2.447468074242236e-06,2.547468074242236e-06,1
435,4.936679060096176e-06,4.136679060096176e-06,15
436,2.5288947963890463e-06,2.5288947963890463e-06,0
437,3.1235220218743514e-06,2.5235220218743512e-06,13
438,1.8322290944090384e-06,2.5322290944090385e-06,7
439,2.6152649321867776e-06,2.5152649321867777e-06,8
440,1.497032187918066e-06,2.197032187918066e-06,7
441,1.711119112989639e-06,2.411119112989639e-06,7
442,2.465630911966107e-06,2.465630911966107e-06,0
443,4.0265155174140684e-06,3.2265155174140685e-06,15
444,2.2355786349718183e-06,2.5355786349718184e-06,3
445,3.2032870478476026e-06,2.5032870478476025e-06,14
446,4.149319126515066e-06,3.349319126515066e-06,15
447,2.644078513380655e-06,2.544078513380655e-06,8
448,2.1215037181696913e-06,2.5215037181696913e-06,4
449,1.7619607511002725e-06,2.4619607511002725e-06,7
450,1.3853644577770147e-06,2.0853644577770148e-06,7
451,1.1616179821697e-06,1.8616179821697e-06,7
452,2.3650553337133738e-06,2.4650553337133737e-06,1
453,1.948345226043645e-06,2.5483452260436452e-06,6
454,2.2125512536612226e-06,2.5125512536612227e-06,3
455,4.624849374877481e-06,3.824849374877481e-06,15
456,3.9928101435129455e-06,3.1928101435129456e-06,15
457,4.005946045595954e-06,3.205946045595954e-06,15
458,1.285109567834241e-06,1.985109567834241e-06,7
459,4.837124367031986e-06,4.037124367031986e-06,15
460,2.1929077125466207e-06,2.4929077125466208e-06,3
461,3.880793044356414e-06,3.0807930443564136e-06,15
462,3.3707118234261575e-06,2.5707118234261575e-06,15
463,1.8155042166209726e-06,2.5155042166209725e-06,7
464,2.0876847554496222e-06,2.4876847554496222e-06,4
465,1.7667081643058614e-06,2.4667081643058615e-06,7
466,4.596369357490823e-06,3.796369357490823e-06,15
467,2.0099022531211795e-06,2.5099022531211794e-06,5
468,4.98277879372096e-06,4.18277879372096e-06,15
469,2.0621362266932177e-06,2.4621362266932177e-06,4
470,1.1650906719499257e-06,1.8650906719499257e-06,7
471,4.92829011910932e-06,4.12829011910932e-06,15
472,4.5363054619611125e-06,3.7363054619611125e-06,15
473,2.3453135294545235e-06,2.5453135294545232e-06,2
474,1.278478681219723e-06,1.978478681219723e-06,7
475,4.896940588521932e-06,4.096940588521932e-06,15
476,2.991829266723472e-06,2.491829266723472e-06,12
477,3.4666823272207903e-06,2.6666823272207903e-06,15
478,4.856606314386263e-06,4.056606314386263e-06,15
479,4.669902616476932e-06,3.869902616476932e-06,15
480,2.571393536550948e-06,2.471393536550948e-06,8
481,3.7119485345826368e-06,2.911948534582637e-06,15
482,3.0843986450256843e-06,2.484398645025684e-06,13
483,3.1188248597623823e-06,2.518824859762382e-06,13
484,3.287611399800227e-06,2.487611399800227e-06,15
485,1.5597941621592524e-06,2.2597941621592525e-06,7
486,1.6897327653809025e-06,2.3897327653809026e-06,7
487,4.274323012801467e-06,3.4743230128014668e-06,15
488,1.4486360105617423e-06,2.148636010561742e-06,7
489,4.7556475080144595e-06,3.9556475080144595e-06,15
490,4.6054462413935784e-06,3.8054462413935785e-06,15
491,2.982445561934956e-06,2.482445561934956e-06,12
492,4.2221335356130875e-06,3.4221335356130875e-06,15
493,4.587216503985561e-06,3.787216503985561e-06,15
494,3.5076815365734966e-06,2.7076815365734967e-06,15
495,3.738215183129241e-06,2.938215183129241e-06,15
496,3.919989078108672e-06,3.119989078108672e-06,15
497,2.0488296627387055e-06,2.5488296627387054e-06,5
498,2.9281969492428554e-06,2.5281969492428554e-06,11
499,1.4548607521335972e-06,2.1548607521335973e-06,7
500,4.189350350546962e-06,3.389350350546962e-06,15
501,3.557682641828194e-06,2.757682641828194e-06,15
502,3.0220183242400475e-06,2.5220183242400476e-06,12
503,1.6838607535288585e-06,2.3838607535288586e-06,7
504,2.8516734189785853e-06,2.4516734189785853e-06,11
505,1.5984273629443754e-06,2.2984273629443755e-06,7
506,4.029554926863408e-06,3.2295549268634084e-06,15
507,2.9286490344195024e-06,2.5286490344195024e-06,11
508,3.1672965522502037e-06,2.4672965522502036e-06,14
509,3.819001369592613e-06,3.0190013695926126e-06,15
510,3.738313400934776e-06,2.938313400934776e-06,15
511,1.433861507577792e-06,2.133861507577792e-06,7
512,1.075947815618742e-06,1.775947815618742e-06,7
513,1.0658353628211868e-06,1.7658353628211868e-06,7
